"eurostat_country_code","fao_area_code","Country_name","Climatic_zone1","Climatic_zone1_pct","Agreena_crop_english_name","Agreena_crop_ID","Agreena_crop_IDENTIFIER","Agreena_crop_year","Agreena_crop_methodology","coolfarm_id","coolfarm_name","es_crop_name","fao_crop_name","yield_avg","yield_min","yield_max","yield_sd","source","Agreena_crop_name"
"MA",203,"Morocco","Warm temperate dry",0.83,"Alfalfa (forage harvest)",145,"ALFALFA",2023,2,1,"Alfalfa","Lucerne","use eurostat",24.3375,22,27,1.52309600110152,"eurostat (imputed)","ALFALFA"
"MA",203,"Morocco","Warm temperate dry",0.83,"Apple",2,"APPLE",NA,NA,2,"Apple","use FAO","Apples",19.730125,17.7043,21.5533,1.22357669588558,"fao (imputed)","APPLE"
"MA",203,"Morocco","Warm temperate dry",0.83,"Barley, Spring (forage harvest)",142,"BARLEY",2023,2,3,"Barley","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","BARLEY"
"MA",203,"Morocco","Warm temperate dry",0.83,"Barley, Spring (grain harvest)",180,"BARLEY-SPRING-GRAIN-HARVEST",2023,2,3,"Barley","Spring barley","use eurostat",3.33875,2.4,4.24,0.656341320176803,"eurostat (imputed)","BARLEY-SPRING-GRAIN-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Barley, Winter (forage harvest)",181,"BARLEY-WINTER-FORAGE-HARVEST",2023,2,3,"Barley","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","BARLEY-WINTER-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Barley, Winter (grain harvest)",182,"BARLEY-WINTER-GRAIN-HARVEST",2023,2,3,"Barley","Winter barley","use eurostat",2.74125,1.98,3.64,0.540751791490329,"eurostat (imputed)","BARLEY-WINTER-GRAIN-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Dry (forage harvest)",242,"BEAN-DRY-FORAGE-HARVEST",2023,2,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","BEAN-DRY-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Fava, Spring (forage harvest)",183,"BEAN-FAVA-FORAGE-HARVEST",2023,2,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","BEAN-FAVA-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Fava, Spring (seed harvest)",184,"BEAN-FAVA-SEED-HARVEST",2023,2,7,"Dry bean","use FAO","Broad beans and horse beans, dry",1.3246875,1.0893,1.6815,0.210357664382085,"fao (imputed)","BEAN-FAVA-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Fava, Winter (forage harvest)",185,"BEAN-FAVA-WINTER-FORAGE-HARVEST",2023,2,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","BEAN-FAVA-WINTER-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Fava, Winter (seed harvest)",186,"BEAN-FAVA-WINTER-SEED-HARVEST",2023,2,7,"Dry bean","use FAO","Broad beans and horse beans, dry",1.3246875,1.0893,1.6815,0.210357664382085,"fao (imputed)","BEAN-FAVA-WINTER-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Mung (forage harvest)",201,"BEAN-MUNG-FORAGE-HARVEST",NA,NA,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","BEAN-MUNG-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Mung (seed harvest)",202,"BEAN-MUNG-SEED-HARVEST",NA,NA,7,"Dry bean","Broad and field beans","Beans, dry",1.28,1.09,1.53,0.154919333848297,"eurostat (imputed)","BEAN-MUNG-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Beet, Fodder (root harvest)",203,"BEET-FODDER-ROOT-HARVEST",2023,2,30,"Other tuber crop","use FAO","Roots and Tubers, Total",31.8730875,29.796,33.8983,1.34284778249967,"fao (imputed)","BEET-FODDER-ROOT-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Beet, Sugar (root harvest)",205,"BEET-SUGAR-ROOT-HARVEST",2023,2,30,"Other tuber crop","Sugar beet (excluding seed)","Sugar beet",88.3125,81.3,95.8,4.7305806046555,"eurostat (imputed)","BEET-SUGAR-ROOT-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Beetroot (root harvest)",207,"BEETROOT-ROOT-HARVEST",2023,2,30,"Other tuber crop","use FAO","Roots and Tubers, Total",31.8730875,29.796,33.8983,1.34284778249967,"fao (imputed)","BEETROOT-ROOT-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Blueberry",4,"BLUEBERRY",NA,NA,33,"Blueberry","use FAO","Blueberries",11.9248875,10.8451,13.3982,0.93664119588102,"fao (imputed)","BLUEBERRY"
"MA",203,"Morocco","Warm temperate dry",0.83,"Borage (seed harvest)",312,"BORAGE-SEED-HARVEST",2023,2,11,"Oats","Other oilseed crops n.e.c.","Oilcrops, Oil Equivalent",1.2,0.84,1.52,0.250884150840298,"eurostat (imputed)","BORAGE-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Buckwheat",138,"BUCKWHEAT",2022,2,25,"Other grain","Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)","Buckwheat",2.7325,2.03,3.41,0.483609937272355,"eurostat (imputed)","BUCKWHEAT"
"MA",203,"Morocco","Warm temperate dry",0.83,"Buckwheat (seed harvest)",187,"BUCKWHEAT-SEED-HARVEST",2023,2,11,"Oats","Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)","Buckwheat",2.7325,2.03,3.41,0.483609937272355,"eurostat (imputed)","BUCKWHEAT-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Canola, Spring (seed harvest)",243,"CANOLA-SPRING",2023,2,36,"Canola","Spring rape and turnip rape seeds","use eurostat",3.26625,2.11,3.94,0.667830977333123,"eurostat (imputed)","CANOLA-SPRING"
"MA",203,"Morocco","Warm temperate dry",0.83,"Canola, Winter (seed harvest)",244,"CANOLA-WINTER",2023,2,36,"Canola","Winter rape and turnip rape seeds","use eurostat",2.125,1.53,2.6,0.347439614486152,"eurostat (imputed)","CANOLA-WINTER"
"MA",203,"Morocco","Warm temperate dry",0.83,"Carrot (root harvest)",209,"CARROT-ROOT-HARVEST",2023,2,30,"Other tuber crop","use FAO","Carrots and turnips",58.5537125,54.481,61.3964,2.24101170866929,"fao (imputed)","CARROT-ROOT-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Carrot (seed harvest)",210,"CARROT-SEED-HARVEST",2023,2,30,"Other tuber crop","use FAO","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2.12715,0.6071,4.1257,1.63288612497714,"fao (imputed)","CARROT-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Clover, Berseem (forage harvest)",245,"CLOVER-BERSEEM-FORAGE-HARVEST",2023,2,4,"Clover","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","CLOVER-BERSEEM-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Clover, Crimson (forage harvest)",246,"CLOVER-CRIMSON-FORAGE-HARVEST",2023,2,4,"Clover","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","CLOVER-CRIMSON-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Clover, Red (forage harvest)",189,"CLOVER-RED-FORAGE-HARVEST",2023,2,4,"Clover","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","CLOVER-RED-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Clover, White (forage harvest)",191,"CLOVER-WHITE-FORAGE-HARVEST",2023,2,4,"Clover","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","CLOVER-WHITE-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Cotton",266,"COTTON",2023,2,6,"Cotton","Cotton fibre","use eurostat",0.96375,0.79,1.06,0.0897516414493749,"eurostat (imputed)","COTTON"
"MA",203,"Morocco","Warm temperate dry",0.83,"Cotton (seed harvest)",267,"COTTON-SEED-HARVEST",NA,NA,6,"Cotton","Cotton seed","use eurostat",1.61,0,3.1,1.05284648182236,"eurostat (imputed)","COTTON-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Bean, Black (seed harvest)",147,"DRY-BEAN",2023,2,7,"Dry bean","Broad and field beans","Beans, dry",1.28,1.09,1.53,0.154919333848297,"eurostat (imputed)","DRY-BEAN"
"MA",203,"Morocco","Warm temperate dry",0.83,"Flax / Linseed",96,"FLAX",2022,2,19,"Spring wheat","Linseed (oilflax)","use eurostat",0.90125,0.3,1.25,0.301919454727345,"eurostat (imputed)","FLAX"
"MA",203,"Morocco","Warm temperate dry",0.83,"Flax / Linseed (seed harvest)",193,"FLAX-LINSEED-SEED-HARVEST",2023,2,11,"Oats","Linseed (oilflax)","use eurostat",0.90125,0.3,1.25,0.301919454727345,"eurostat (imputed)","FLAX-LINSEED-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Grass-clover mix",133,"GRASS-CLOVER-MIX",2022,2,13,"Grass-clover mix","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","GRASS-CLOVER-MIX"
"MA",203,"Morocco","Warm temperate dry",0.83,"Grass-clover mix (forage harvest)",265,"GRASS-CLOVER-MIX-FORAGE-HARVEST",2023,2,13,"Grass-clover mix","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","GRASS-CLOVER-MIX-FORAGE-HARVEST"
