eurostat_country_code,fao_area_code,Country_name,Climatic_zone1,Climatic_zone1_pct,Agreena_crop_english_name,Agreena_crop_ID,Agreena_crop_IDENTIFIER,Agreena_crop_year,Agreena_crop_methodology,coolfarm_id,coolfarm_name,es_crop_name,fao_crop_name,yield_avg,yield_min,yield_max,yield_sd,source,Agreena_crop_name
AL,3,Albania,Warm temperate moist,0.52,Alfalfa (forage harvest),145,ALFALFA,2023,2,1,Alfalfa,Lucerne,use eurostat,19.6875,15.5,28.5,3.773000889780668,eurostat (imputed),ALFALFA
AL,3,Albania,Warm temperate moist,0.52,Apple,2,APPLE,NA,NA,2,Apple,use FAO,Apples,23.664675,21.2426,26.2258,1.637813308521893,fao (imputed),APPLE
AL,3,Albania,Warm temperate moist,0.52,"Barley, Spring (forage harvest)",142,BARLEY,2023,2,3,Barley,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),BARLEY
AL,3,Albania,Warm temperate moist,0.52,"Barley, Spring (grain harvest)",180,BARLEY-SPRING-GRAIN-HARVEST,2023,2,3,Barley,Spring barley,use eurostat,5.0475,4.5,5.75,0.4791286734419948,CZ estimate Eurostat,BARLEY-SPRING-GRAIN-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Barley, Winter (forage harvest)",181,BARLEY-WINTER-FORAGE-HARVEST,2023,2,3,Barley,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),BARLEY-WINTER-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Barley, Winter (grain harvest)",182,BARLEY-WINTER-GRAIN-HARVEST,2023,2,3,Barley,Winter barley,use eurostat,3.0275,2.76,3.51,0.2631539473388153,eurostat (imputed),BARLEY-WINTER-GRAIN-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Bean, Fava, Spring (seed harvest)",184,BEAN-FAVA-SEED-HARVEST,2023,2,7,Dry bean,use FAO,"Broad beans and horse beans, dry",1.2405125,1.2141,1.2845,0.02392908794751692,fao (imputed),BEAN-FAVA-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Bean, Fava, Winter (seed harvest)",186,BEAN-FAVA-WINTER-SEED-HARVEST,2023,2,7,Dry bean,use FAO,"Broad beans and horse beans, dry",1.2405125,1.2141,1.2845,0.02392908794751692,fao (imputed),BEAN-FAVA-WINTER-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Bean, Mung (seed harvest)",202,BEAN-MUNG-SEED-HARVEST,NA,NA,7,Dry bean,Broad and field beans,"Beans, dry",1.83045,1.6256,2.0548,0.1354207833806487,fao (imputed),BEAN-MUNG-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Beet, Fodder (root harvest)",203,BEET-FODDER-ROOT-HARVEST,2023,2,30,Other tuber crop,use FAO,"Roots and Tubers, Total",25.249025,24.2574,26.2742,0.7222889464354665,fao (imputed),BEET-FODDER-ROOT-HARVEST
