Agreena_crop_IDENTIFIER;coolfarm_name
ALFALFA;ALFALFA
ALFALFA-SEED-HARVEST;ALFALFA-1
APPLE;APPLE
BARLEY;BARLEY
BARLEY-SPRING-GRAIN-HARVEST;BARLEY
BARLEY-WINTER-FORAGE-HARVEST;BARLEY-1
BARLEY-WINTER-GRAIN-HARVEST;WINTER-WHEAT-1
DRY-BEAN;DRY BEAN
DRY-BEAN;DRY BEAN
BEAN-DRY-FORAGE-HARVEST;DRY BEAN-1
HORSEBEANS;DRY BEAN
BEAN-FAVA-FORAGE-HARVEST;DRY BEAN-1
BEAN-FAVA-SEED-HARVEST;DRY BEAN
BEAN-FAVA-WINTER-FORAGE-HARVEST;DRY BEAN-1
BEAN-FAVA-WINTER-SEED-HARVEST;DRY BEAN
BEAN-MUNG-FORAGE-HARVEST;DRY BEAN
BEAN-MUNG-SEED-HARVEST;DRY BEAN
BEET-FODDER-ROOT-HARVEST;OTHER TUBER CROP
BEET-FODDER-SEED-HARVEST;OTHER TUBER CROP-1
BEET-SUGAR-ROOT-HARVEST;OTHER TUBER CROP
BEET-SUGAR-SEED-HARVEST;OTHER TUBER CROP-1
BEETROOT-ROOT-HARVEST;OTHER TUBER CROP
BEETROOT-SEED-HARVEST;OTHER TUBER CROP-1
BLUEBERRY;BLUEBERRY
BORAGE-SEED-HARVEST;OTHER GRAIN
BUCKWHEAT;OTHER GRAIN
BUCKWHEAT-SEED-HARVEST;OTHER GRAIN
CANOLA-SPRING;CANOLA
CANOLA-WINTER;CANOLA
CARROT-ROOT-HARVEST;OTHER TUBER CROP
CARROT-SEED-HARVEST;OTHER TUBER CROP-1
CLOVER-BERSEEM-FORAGE-HARVEST;CLOVER
CLOVER;CLOVER
CLOVER-CRIMSON-FORAGE-HARVEST;CLOVER
CLOVER-CRIMSON-SEED-HARVEST;CLOVER
CLOVER-RED-FORAGE-HARVEST;CLOVER
CLOVER-RED-SEED-HARVEST;CLOVER-1
CLOVER-SUBTERRANEAN-SEED-HARVEST;CLOVER-1
CLOVER-WHITE-FORAGE-HARVEST;CLOVER
CLOVER-WHITE-SEED-HARVEST;CLOVER-1
