eurostat_country_code,Agreena_crop_IDENTIFIER,yield_avg
AL,ALFALFA,19.6875
AL,APPLE,23.664675
AL,BARLEY,13.0125
AL,BARLEY-SPRING-GRAIN-HARVEST,5.0475
AL,BARLEY-WINTER-FORAGE-HARVEST,13.0125
AL,BARLEY-WINTER-GRAIN-HARVEST,3.0275
AL,BEAN-FAVA-SEED-HARVEST,1.2405125
AL,BEAN-FAVA-WINTER-SEED-HARVEST,1.2405125
AL,BEAN-MUNG-SEED-HARVEST,1.83045
AL,BEET-FODDER-ROOT-HARVEST,25.249025
AL,BEET-SUGAR-ROOT-HARVEST,35.1375
AL,BEETROOT-ROOT-HARVEST,25.249025
AL,BORAGE-SEED-HARVEST,0.530575
AL,CANOLA-WINTER,3.79125
AL,CARROT-ROOT-HARVEST,28.97105
AL,DRY-BEAN,1.83045
AL,GRAZING-FIELD,6.7825
AL,HEMP-BIOMASS-HARVEST,0.69815
AL,HEMP-FIBER-HARVEST,0.69815
AL,HORSEBEANS,1.83045
AL,MAIZE,26.95
AL,MAIZE-CORN,6.4675
AL,MILLET-FORAGE-HARVEST,13.0125
AL,OAT-BLACK-FORAGE-HARVEST,13.0125
AL,OAT-BLACK-GRAIN-HARVEST,2.23875
AL,OAT-SPRING-GRAIN-HARVEST,2.23875
AL,OAT-WINTER-FORAGE-HARVEST,13.0125
AL,OAT-WINTER-GRAIN-HARVEST,2.23875
AL,OATS,13.0125
AL,ONION,19.941375
AL,OTHER-GRAIN,4.94105
AL,OTHER-LEGUME,1.66875
AL,OTHER-NON-N-FIXING-FORAGE,13.0125
AL,OTHER-ROOT-CROPS,25.249025
AL,OTHER-TUBER-CROP,25.249025
AL,PEA-SPRING-SEED-HARVEST,2.20125
AL,PEA-WINTER-SEED-HARVEST,2.20125
AL,PEAS,2.20125
AL,PERENNIAL-GRASS,6.7825
AL,PLAIN-GRASS,6.7825
AL,POTATO,23.2625
AL,RAPE,3.79125
AL,RAPESEED,3.79125
AL,RICE,3.665
AL,RYE,2.40625
AL,RYE-SPRING-FORAGE-HARVEST,13.0125
AL,RYE-SPRING-GRAIN-HARVEST,2.40625
AL,RYE-WINTER-FORAGE-HARVEST,13.0125
AL,SAINFOIN-SEED-HARVEST,1.66875
AL,SORGHUM,5.0518125
AL,SORGHUM-FORAGE-HARVEST,13.0125
AL,SOYBEAN,2.3375
AL,SPINACH-LEAF-HARVEST,14.83885
AL,SPRING-WHEAT,5.6125
AL,STRAWBERRY,40.2179
AL,SUGAR-BEETS,35.1375
AL,SUNFLOWER,2.365
AL,SUNFLOWER-SEED-HARVEST,2.365
AL,TOMATO,43.5106875
AL,TRITICALE-SPRING-FORAGE-HARVEST,13.0125
AL,TRITICALE-WINTER-FORAGE-HARVEST,13.0125
AL,VEGETABLE,27.24975
AL,VETCH-SEED-HARVEST,0.3075875
AL,WHEAT,3.6125
AL,WHEAT-SPELT-GRAIN-HARVEST,3.6125
AL,WHEAT-SPRING-FORAGE-HARVEST,13.0125
AL,WHEAT-SPRING-GRAIN-HARVEST,5.6125
AL,WHEAT-WINTER-FORAGE-HARVEST,13.0125
AL,WINTER-BARLEY,3.0275
AL,WINTER-WHEAT,3.6125
AU,ALFALFA,12.59734375
