"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",0.366666666666667,416,29.9,"clay loam",20.2191675338189,49.2606451612903,80.7835483870968
"February",0.366666666666667,416,29.9,"clay loam",21.1490104083903,44.2051612903226,98.841935483871
"March",0.366666666666667,416,29.9,"clay loam",22.8562122788762,46.1206451612903,138.233548387097
"April",0.366666666666667,416,29.9,"clay loam",25.3054623655914,68.7841935483871,151.632903225806
"May",0.366666666666667,416,29.9,"clay loam",27.5252237252862,111.056774193548,155.497741935484
"June",0.366666666666667,416,29.9,"clay loam",28.7880860215054,220.300967741935,113.769677419355
"July",0.366666666666667,416,29.9,"clay loam",29.3538189386056,177.065806451613,120.008709677419
"August",0.366666666666667,416,29.9,"clay loam",29.5219979188345,198.222903225806,111.998387096774
"September",0.366666666666667,416,29.9,"clay loam",28.6635268817204,210.976774193548,98.1961290322581
"October",0.366666666666667,416,29.9,"clay loam",26.7228199791883,128.122258064516,119.641612903226
"November",0.366666666666667,416,29.9,"clay loam",23.4461182795699,60.6977419354839,100.504193548387
"December",0.366666666666667,416,29.9,"clay loam",21.5229358307319,46.0738709677419,84.9493548387097
