"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.29333333333333,256.5,24.7,"clay loam",11.0301352757544,108.927741935484,21.431935483871
"February",1.29333333333333,256.5,24.7,"clay loam",11.2824809311934,101.031290322581,37.948064516129
"March",1.29333333333333,256.5,24.7,"clay loam",11.7125494276795,77.4887096774194,71.3967741935484
"April",1.29333333333333,256.5,24.7,"clay loam",12.0507204301075,33.0461290322581,79.4209677419355
"May",1.29333333333333,256.5,24.7,"clay loam",13.1568678459938,16.1541935483871,51.8038709677419
"June",1.29333333333333,256.5,24.7,"clay loam",14.4596774193548,4.56709677419355,19.2383870967742
"July",1.29333333333333,256.5,24.7,"clay loam",15.7456711758585,1.06935483870968,4.04516129032258
"August",1.29333333333333,256.5,24.7,"clay loam",16.2677419354839,1.4658064516129,0.770645161290323
"September",1.29333333333333,256.5,24.7,"clay loam",16.1987419354839,3.53709677419355,0.218387096774194
"October",1.29333333333333,256.5,24.7,"clay loam",14.9619042663892,25.2832258064516,1.19161290322581
"November",1.29333333333333,256.5,24.7,"clay loam",12.8813870967742,48.0312903225806,3.54322580645161
"December",1.29333333333333,256.5,24.7,"clay loam",11.2536618106139,99.538064516129,9.7241935483871
