"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.14,359.5,25.55,"loam",14.0970863683663,87.5103225806452,0.753870967741936
"February",1.14,359.5,25.55,"loam",13.4706066264103,73.628064516129,1.30064516129032
"March",1.14,359.5,25.55,"loam",13.8663267429761,66.0883870967742,3.76709677419355
"April",1.14,359.5,25.55,"loam",15.3258494623656,61.7941935483871,7.53709677419355
"May",1.14,359.5,25.55,"loam",18.763558792924,38.8035483870968,9.52193548387097
"June",1.14,359.5,25.55,"loam",22.8743225806452,27.4548387096774,5.09258064516129
"July",1.14,359.5,25.55,"loam",25.6892195629553,20.0506451612903,1.66032258064516
"August",1.14,359.5,25.55,"loam",26.5842039542144,26.7574193548387,0.545161290322581
"September",1.14,359.5,25.55,"loam",24.2814731182796,76.5141935483871,1.11645161290323
"October",1.14,359.5,25.55,"loam",21.4296774193548,90.4270967741935,2.08935483870968
"November",1.14,359.5,25.55,"loam",18.4967956989247,126.08,1.8341935483871
"December",1.14,359.5,25.55,"loam",15.8156458550121,102.963870967742,0.999677419354839
