"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.30666666666667,563.833333333333,25.95,"silty loam",2.78119667013528,55.8758064516129,0.125483870967742
"February",1.30666666666667,563.833333333333,25.95,"silty loam",3.46645916097251,48.4361290322581,1.14774193548387
"March",1.30666666666667,563.833333333333,25.95,"silty loam",6.74767950052029,47.4009677419355,12.6222580645161
"April",1.30666666666667,563.833333333333,25.95,"silty loam",9.89791397849462,45.488064516129,47.1748387096774
"May",1.30666666666667,563.833333333333,25.95,"silty loam",13.716836628512,62.8616129032258,108.23
"June",1.30666666666667,563.833333333333,25.95,"silty loam",17.1472795698925,59.5516129032258,150.763870967742
"July",1.30666666666667,563.833333333333,25.95,"silty loam",19.2949635796046,53.9664516129032,148.234838709677
"August",1.30666666666667,563.833333333333,25.95,"silty loam",19.099406867846,52.5287096774194,101.265806451613
"September",1.30666666666667,563.833333333333,25.95,"silty loam",15.4701290322581,51.19,47.8209677419355
"October",1.30666666666667,563.833333333333,25.95,"silty loam",11.0455879292404,62.9345161290323,16.4445161290323
"November",1.30666666666667,563.833333333333,25.95,"silty loam",6.33630107526882,62.2841935483871,1.82161290322581
"December",1.30666666666667,563.833333333333,25.95,"silty loam",3.30823829344433,74.071935483871,0.121290322580645
