"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.29833333333333,132,29.6166666666667,"sandy clay loam",29.3185848074922,23.84,2.58064516129032
"February",1.29833333333333,132,29.6166666666667,"sandy clay loam",28.2289762434451,19.188064516129,2.74838709677419
"March",1.29833333333333,132,29.6166666666667,"sandy clay loam",24.7713735691988,23.2064516129032,2.45290322580645
"April",1.29833333333333,132,29.6166666666667,"sandy clay loam",19.8567419354839,21.4238709677419,2.31870967741935
"May",1.29833333333333,132,29.6166666666667,"sandy clay loam",14.5275234131113,37.0838709677419,2.30387096774194
"June",1.29833333333333,132,29.6166666666667,"sandy clay loam",11.037064516129,42.1867741935484,4.52322580645161
"July",1.29833333333333,132,29.6166666666667,"sandy clay loam",9.92429760665973,54.2867741935484,12.8
"August",1.29833333333333,132,29.6166666666667,"sandy clay loam",10.8133818938606,42.9016129032258,32.4403225806452
"September",1.29833333333333,132,29.6166666666667,"sandy clay loam",13.4450752688172,28.118064516129,40.9254838709677
"October",1.29833333333333,132,29.6166666666667,"sandy clay loam",18.2223517169615,18.9367741935484,22.9216129032258
"November",1.29833333333333,132,29.6166666666667,"sandy clay loam",22.9900537634409,17.6977419354839,8.08741935483871
"December",1.29833333333333,132,29.6166666666667,"sandy clay loam",27.2440870620881,14.3803225806452,3.54387096774194
