"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.31833333333333,35,26.3833333333333,"clay loam",26.9987617065557,46.0725806451613,14.7709677419355
"February",1.31833333333333,35,26.3833333333333,"clay loam",25.701886620054,50.441935483871,15.8764516129032
"March",1.31833333333333,35,26.3833333333333,"clay loam",21.4876899063476,47.6354838709677,16.5487096774194
"April",1.31833333333333,35,26.3833333333333,"clay loam",15.9494946236559,31.5051612903226,11.9677419354839
"May",1.31833333333333,35,26.3833333333333,"clay loam",10.995494276795,39.2170967741935,8.30838709677419
"June",1.31833333333333,35,26.3833333333333,"clay loam",7.73735483870968,59.7738709677419,7.45903225806452
"July",1.31833333333333,35,26.3833333333333,"clay loam",6.62672216441207,54.0187096774194,11.8916129032258
"August",1.31833333333333,35,26.3833333333333,"clay loam",7.62587929240375,50.2929032258065,31.8151612903226
"September",1.31833333333333,35,26.3833333333333,"clay loam",11.0752365591398,50.2729032258065,66.2770967741936
"October",1.31833333333333,35,26.3833333333333,"clay loam",15.4779084287201,51.4464516129032,81.4812903225806
"November",1.31833333333333,35,26.3833333333333,"clay loam",20.0682903225806,61.5016129032258,56.8461290322581
"December",1.31833333333333,35,26.3833333333333,"clay loam",23.8558262226847,52.9361290322581,34.9996774193548
