"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.53,45,19.25,"sandy loam",7.12843912591051,111.172580645161,26.6196774193548
"February",1.53,45,19.25,"sandy loam",9.27755879548705,110.186774193548,40.4054838709677
"March",1.53,45,19.25,"sandy loam",13.1140166493236,117.675483870968,90.9303225806452
"April",1.53,45,19.25,"sandy loam",17.4096021505376,91.0854838709677,153.70935483871
"May",1.53,45,19.25,"sandy loam",22.668855359001,74.4329032258065,170.451935483871
"June",1.53,45,19.25,"sandy loam",26.5692150537634,113.815806451613,137.477741935484
"July",1.53,45,19.25,"sandy loam",28.3224973985432,123.433548387097,111.346774193548
"August",1.53,45,19.25,"sandy loam",27.7679084287201,113.968064516129,98.6687096774194
"September",1.53,45,19.25,"sandy loam",24.5872365591398,96.858064516129,101.666774193548
"October",1.53,45,19.25,"sandy loam",18.8718314255983,72.1012903225806,74.5593548387097
"November",1.53,45,19.25,"sandy loam",12.4906774193548,80.0845161290323,39.7348387096774
"December",1.53,45,19.25,"sandy loam",8.6721543531044,114.552258064516,26.2493548387097
