"","t","crop","cover","country","annual_yield","fym","biomass_distrib","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"2",0.166666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"3",0.25,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"4",0.333333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"5",0.416666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"6",0.5,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"7",0.583333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"8",0.666666666666667,"TOMATO",1,"US",1.525,0,1,0.806675,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"9",0.75,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"10",0.833333333333333,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"11",0.916666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"12",1,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"13",1.08333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"14",1.16666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"15",1.25,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"16",1.33333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"17",1.41666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"18",1.5,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"19",1.58333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"20",1.66666666666667,"TOMATO",1,"US",1.525,0,1,0.806675,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"21",1.75,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"22",1.83333333333333,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"23",1.91666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"24",2,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"25",2.08333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"26",2.16666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"27",2.25,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"28",2.33333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"29",2.41666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"30",2.5,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"31",2.58333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"32",2.66666666666667,"TOMATO",1,"US",1.525,0,1,0.806675,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"33",2.75,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"34",2.83333333333333,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"35",2.91666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"36",3,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"37",3.08333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"38",3.16666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"39",3.25,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"40",3.33333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"41",3.41666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"42",3.5,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"43",3.58333333333333,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"44",3.66666666666667,"TOMATO",1,"US",1.525,0,1,0.806675,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"45",3.75,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"46",3.83333333333333,"TOMATO",1,"US",1.525,0,0,0,0,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"47",3.91666666666667,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
"48",4,"TOMATO",1,"US",1.525,0,0,0,1,"winter",1,2.72,"Treatment",0.111111111111111,1.66666666666667,1.88888888888889
