"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.52675,306.65,42.0025,"clay",10.5148595213319,53.5545161290323,2.38645161290323
"February",1.52675,306.65,42.0025,"clay",12.144055696806,48.0645161290323,5.14161290322581
"March",1.52675,306.65,42.0025,"clay",15.013756503642,60.7548387096774,9.82903225806452
"April",1.52675,306.65,42.0025,"clay",17.3715268817204,36.9687096774194,9.29451612903226
"May",1.52675,306.65,42.0025,"clay",21.2511238293444,26.6574193548387,4.84451612903226
"June",1.52675,306.65,42.0025,"clay",25.864064516129,4.84064516129032,1.04193548387097
"July",1.52675,306.65,42.0025,"clay",29.4201144640999,2.59032258064516,0.108709677419355
"August",1.52675,306.65,42.0025,"clay",29.6881893860562,3.48354838709677,0.00483870967741935
"September",1.52675,306.65,42.0025,"clay",25.9879569892473,28.9712903225806,0.156129032258065
"October",1.52675,306.65,42.0025,"clay",21.4716337148803,43.08,0.346774193548387
"November",1.52675,306.65,42.0025,"clay",15.4757204301075,73.6858064516129,0.723870967741936
"December",1.52675,306.65,42.0025,"clay",11.9164131113424,58.5651612903226,1.25322580645161
