"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.33859813084112,40,36.3401869158878,"silty clay loam",2.69773152965661,52.991935483871,0.161612903225806
"February",1.33859813084112,40,36.3401869158878,"silty clay loam",3.51158271094867,47.2732258064516,1.40870967741935
"March",1.33859813084112,40,36.3401869158878,"silty clay loam",6.97597294484912,45.8509677419355,13.5696774193548
"April",1.33859813084112,40,36.3401869158878,"silty clay loam",10.3205483870968,46.2058064516129,48.5870967741935
"May",1.33859813084112,40,36.3401869158878,"silty clay loam",14.3163475546306,63.9674193548387,110.794838709677
"June",1.33859813084112,40,36.3401869158878,"silty clay loam",17.871311827957,58.4432258064516,152.558709677419
"July",1.33859813084112,40,36.3401869158878,"silty clay loam",20.1428720083247,52.8312903225806,132.327741935484
"August",1.33859813084112,40,36.3401869158878,"silty clay loam",19.8904058272633,51.3225806451613,80.8029032258064
"September",1.33859813084112,40,36.3401869158878,"silty clay loam",15.9307096774194,51.2274193548387,38.5674193548387
"October",1.33859813084112,40,36.3401869158878,"silty clay loam",11.2620083246618,60.69,15.8493548387097
"November",1.33859813084112,40,36.3401869158878,"silty clay loam",6.31903225806452,59.7461290322581,2.02806451612903
"December",1.33859813084112,40,36.3401869158878,"silty clay loam",3.29144987859868,68.3345161290323,0.15258064516129
