"","t","crop","cover","country","annual_yield","fym","biomass_distrib","bio_mass_input","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"2",0.166666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"3",0.25,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"4",0.333333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"5",0.416666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"6",0.5,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"7",0.583333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"8",0.666666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"9",0.75,"MAIZE",1,"AT",12.7,0,1,0,2.9366175,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"10",0.833333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"11",0.916666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"12",1,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"13",1.08333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"14",1.16666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"15",1.25,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"16",1.33333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"17",1.41666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"18",1.5,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"19",1.58333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"20",1.66666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"21",1.75,"MAIZE",1,"AT",12.7,0,1,0,2.9366175,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"22",1.83333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"23",1.91666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"24",2,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"25",2.08333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"26",2.16666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"27",2.25,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"28",2.33333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"29",2.41666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"30",2.5,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"31",2.58333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"32",2.66666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"33",2.75,"MAIZE",1,"AT",12.7,0,1,0,2.9366175,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"34",2.83333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"35",2.91666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"36",3,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"37",3.08333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"38",3.16666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"39",3.25,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"40",3.33333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"41",3.41666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"42",3.5,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"43",3.58333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"44",3.66666666666667,"MAIZE",1,"AT",12.7,0,0,0,0,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"45",3.75,"MAIZE",1,"AT",12.7,0,1,0,2.9366175,1,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
"46",3.83333333333333,"MAIZE",1,"AT",12.7,0,0,0,0,0,"spring",0.95,1.44,"Treatment",1.66666666666667,1,1
