"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.23375,545.125,27.7,"silty clay loam",-0.698387096774194,70.4654838709677,0.0509677419354839
"February",1.23375,545.125,27.7,"silty clay loam",0.387936993484824,56.0367741935484,0.528387096774194
"March",1.23375,545.125,27.7,"silty clay loam",4.31462018730489,62.0625806451613,6.88741935483871
"April",1.23375,545.125,27.7,"silty clay loam",8.78191397849462,50.3474193548387,37.5867741935484
"May",1.23375,545.125,27.7,"silty clay loam",13.4581685744017,83.4296774193548,93.18
"June",1.23375,545.125,27.7,"silty clay loam",17.6993978494624,75.4270967741935,117.298387096774
"July",1.23375,545.125,27.7,"silty clay loam",20.0623829344433,83.4354838709677,79.3125806451613
"August",1.23375,545.125,27.7,"silty clay loam",19.8197190426639,72.8670967741936,40.9545161290323
"September",1.23375,545.125,27.7,"silty clay loam",14.9131397849462,62.8693548387097,19.9251612903226
"October",1.23375,545.125,27.7,"silty clay loam",9.43517169614984,69.8061290322581,11.5422580645161
"November",1.23375,545.125,27.7,"silty clay loam",3.9045376344086,70.088064516129,1.22612903225806
"December",1.23375,545.125,27.7,"silty clay loam",0.362096774193548,81.1016129032258,0.0774193548387097
