"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.20666666666667,549,22.9666666666667,"silty loam",-7.52715920915713,46.2267741935484,0.0190322580645161
"February",1.20666666666667,549,22.9666666666667,"silty loam",-6.36506952169077,39.8229032258064,0.0064516129032258
"March",1.20666666666667,549,22.9666666666667,"silty loam",-0.281821019771072,45.0025806451613,1.42516129032258
"April",1.20666666666667,549,22.9666666666667,"silty loam",8.18964516129032,39.9903225806452,26.018064516129
"May",1.20666666666667,549,22.9666666666667,"silty loam",14.7883350676379,61.7674193548387,99.0658064516129
"June",1.20666666666667,549,22.9666666666667,"silty loam",19.2876451612903,69.1054838709677,127.276129032258
"July",1.20666666666667,549,22.9666666666667,"silty loam",22.1741935483871,63.1658064516129,92.6990322580645
"August",1.20666666666667,549,22.9666666666667,"silty loam",21.5636004162331,42.468064516129,31.2270967741935
"September",1.20666666666667,549,22.9666666666667,"silty loam",14.8889462365591,53.2732258064516,11.44
"October",1.20666666666667,549,22.9666666666667,"silty loam",7.27975026014568,46.3848387096774,3.96838709677419
"November",1.20666666666667,549,22.9666666666667,"silty loam",0.288236559139785,45.5,0.401290322580645
"December",1.20666666666667,549,22.9666666666667,"silty loam",-5.2453163371488,49.5651612903226,0.0829032258064516
