"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",0.98,57,26.8,"clay",25.6123933402706,33.6006451612903,110.793225806452
"February",0.98,57,26.8,"clay",26.9554004449388,78.7522580645161,61.7561290322581
"March",0.98,57,26.8,"clay",26.6413111342352,180.887419354839,66.1596774193548
"April",0.98,57,26.8,"clay",26.0099677419355,261.479677419355,83.8232258064516
"May",0.98,57,26.8,"clay",25.6638709677419,289.988709677419,79.0025806451613
"June",0.98,57,26.8,"clay",24.8056129032258,464.534838709677,58.1109677419355
"July",0.98,57,26.8,"clay",24.08197710718,577.732580645161,45.68
"August",0.98,57,26.8,"clay",23.9483038501561,632.195161290323,43.5074193548387
"September",0.98,57,26.8,"clay",24.3415161290323,518.020967741935,45.9654838709677
"October",0.98,57,26.8,"clay",24.7006347554631,411.647419354839,51.7225806451613
"November",0.98,57,26.8,"clay",25.2943978494624,164.083548387097,74.7935483870968
"December",0.98,57,26.8,"clay",25.1632996878252,49.3787096774194,116.347096774194
